p1x	p1y	p1z	p2x	p2y	p2z	p3x	p3y	p3z	mu1	mu2	mu3	mu4
-15.31169	14.09216	23.39342	-10.65137	31.64185	20.52684	25.96305	-45.73401	-43.92026	0.5	-0.5	0.5	-0.5
78.64629	91.36408	88.66835	-40.41634	-39.01355	-50.80486	-38.22995	-52.35053	-37.8635	-0.5	0.5	-0.5	0.5
-36.1861	0.4466431	74.03393	33.38631	-52.0798	-37.81808	2.799795	51.63315	-36.21585	-0.5	0.5	-0.5	0.5
11.33552	-57.09507	-142.6975	-26.73925	49.81472	95.47866	15.40373	7.280351	47.21881	0.5	-0.5	-0.5	0.5
-68.79623	-81.78303	21.23786	-5.799004	25.4386	-34.98049	74.59523	56.34443	13.74263	0.5	-0.5	0.5	-0.5
-58.92162	32.97313	-37.29458	-22.24081	45.12852	13.66317	81.16244	-78.10165	23.63141	-0.5	0.5	0.5	-0.5
-57.56495	2.226959	126.1717	11.60039	-32.14978	-84.94837	45.96456	29.92282	-41.22331	0.5	-0.5	0.5	-0.5
76.95455	-71.17573	-20.54965	-19.79613	-18.72506	12.66366	-57.15842	89.90079	7.885997	0.5	-0.5	0.5	-0.5
-10.52964	-3.305327	130.6736	26.9427	-16.4459	-21.38858	-16.41306	19.75122	-109.285	0.5	-0.5	0.5	-0.5
136.2162	-10.07118	-76.31361	-82.97184	-14.42464	68.40211	-53.2444	24.49583	7.911498	0.5	-0.5	0.5	-0.5
31.02085	38.834	68.80299	-3.03941	-24.47518	-43.44068	-27.98144	-14.35882	-25.36231	0.5	-0.5	0.5	-0.5
26.26063	-71.98999	-104.4433	-13.98901	6.055023	63.07809	-12.27162	65.93496	41.36519	-0.5	0.5	0.5	-0.5
61.86738	32.62989	-134.6149	-16.85991	10.79963	48.90056	-45.00747	-43.42952	85.71432	0.5	-0.5	0.5	-0.5
52.60465	23.37715	37.90343	5.678229	-32.4376	-8.099102	-58.28288	9.060447	-29.80433	-0.5	0.5	-0.5	0.5
-7.244534	-36.56705	58.99877	32.15882	18.24875	-43.33056	-24.91428	18.3183	-15.66822	0.5	-0.5	-0.5	0.5
-39.89468	-84.41256	-93.51743	23.69436	73.22519	18.50991	16.20031	11.18736	75.00752	0.5	-0.5	0.5	-0.5
-65.1481	4.438699	23.50137	39.93437	-20.9504	-24.3653	25.21373	16.5117	0.8639374	-0.5	0.5	-0.5	0.5
-83.89906	5.014934	57.5434	57.54416	12.3171	-64.51227	26.3549	-17.33203	6.968868	0.5	-0.5	-0.5	0.5
-30.79839	8.635822	-92.62776	49.20889	-16.5255	-19.19385	-18.4105	7.889682	111.8216	-0.5	0.5	0.5	-0.5
-55.14614	-25.34909	-102.6478	36.82009	51.49892	-3.73183	18.32605	-26.14983	106.3796	0.5	-0.5	0.5	-0.5
82.47891	5.945774	28.37242	-33.06425	23.03139	-7.150271	-49.41466	-28.97716	-21.22215	-0.5	0.5	-0.5	0.5
-16.16224	-39.67358	-38.00379	-7.236457	-19.51295	24.70396	23.39869	59.18653	13.29983	-0.5	0.5	-0.5	0.5
-55.02235	69.21366	61.21254	63.66315	-45.81518	-35.10874	-8.640807	-23.39848	-26.1038	0.5	-0.5	-0.5	0.5
80.87616	-97.45943	44.08589	-62.83521	38.39588	-14.12059	-18.04095	59.06355	-29.9653	0.5	-0.5	0.5	-0.5
-55.5017	-2.110109	11.33174	46.46783	-21.69218	12.74959	9.033875	23.80229	-24.08133	-0.5	0.5	0.5	-0.5
71.47829	-98.08011	9.772617	-38.98073	57.06189	16.90874	-32.49756	41.01822	-26.68136	0.5	-0.5	0.5	-0.5
-94.70229	-18.46903	-37.58085	29.22536	58.23881	13.36832	65.47694	-39.76978	24.21254	0.5	-0.5	0.5	-0.5
-32.87963	44.39326	-98.17752	-1.671675	-22.21648	10.40071	34.55131	-22.17678	87.77681	0.5	-0.5	0.5	-0.5
34.19183	-68.91299	-74.71929	-44.52491	15.95836	77.13521	10.33307	52.95463	-2.415923	0.5	-0.5	0.5	-0.5
41.60956	-51.90418	-144.0482	-34.17925	-4.205088	72.61373	-7.430314	56.10927	71.43452	0.5	-0.5	0.5	-0.5
-13.96737	54.41086	-122.5501	-27.98013	-47.95724	67.10786	41.9475	-6.453623	55.44227	-0.5	0.5	0.5	-0.5
16.0777	5.317679	110.6234	-2.495966	9.763373	-85.75877	-13.58174	-15.08105	-24.86462	0.5	-0.5	0.5	-0.5
30.65715	-50.23325	32.47331	-20.62409	45.78886	0.08809669	-10.03306	4.444382	-32.56141	-0.5	0.5	-0.5	0.5
14.6498	32.3134	-30.20777	-50.09279	-30.90246	11.84318	35.44299	-1.410938	18.36459	0.5	-0.5	-0.5	0.5
47.0376	-68.65098	-9.191358	-53.26504	108.4108	12.40405	6.227441	-39.7598	-3.212695	0.5	-0.5	0.5	-0.5
