nosym
-28	28	29
-6	6	7
-150	100	126
0.00206588	-0.406	0.0628491	
0.00184817	-0.470194	0.0744757	
-0.00289169	-0.547651	0.0878114	
-0.00884098	-0.636113	0.0976923	
-0.0124211	-0.734004	0.105799	
-0.0133734	-0.841668	0.114597	
-0.0125905	-0.957578	0.118421	
-0.0119517	-1.07594	0.112961	
-0.00896437	-1.18242	0.096516	
-0.00653467	-1.26612	0.069933	
-0.00423445	-1.32082	0.044641	
-0.00302742	-1.35152	0.0258322	
-0.00159636	-1.36799	0.0131242	
-0.00153714	-1.37503	0.00541573	
-0.00139916	-1.37694	-0.000331648	
-0.00166001	-1.37447	-0.00596359	
-0.00191754	-1.36646	-0.0142546	
-0.00281725	-1.34852	-0.0274685	
-0.00414192	-1.31546	-0.0477539	
-0.00627522	-1.25746	-0.0728496	
-0.00896279	-1.17133	-0.0970913	
-0.0104741	-1.06299	-0.111055	
-0.0125586	-0.948537	-0.11443	
-0.0127479	-0.837403	-0.108609	
-0.0132629	-0.735051	-0.100944	
-0.0130273	-0.644014	-0.0898024	
-0.0114641	-0.561684	-0.08226	
-0.00878449	-0.4868	-0.0738002	
-0.00518507	-0.422456	-0.0658882	
5.96542e-05	-0.36514	-0.0571348	
0.00134589	-0.316759	-0.0474575	
0.00191773	-0.27508	-0.040984	
0.00124687	-0.241464	-0.0343749	
0.000765465	-0.212235	-0.0296259	
0.000633815	-0.187071	-0.0255258	
0.000164607	-0.165405	-0.0218995	
-6.26127e-05	-0.146248	-0.0189567	
-0.000387201	-0.129833	-0.0162528	
-0.000647351	-0.115542	-0.0139439	
-0.000865691	-0.102939	-0.0117726	
-0.00103866	-0.0918909	-0.00992508	
-0.00125205	-0.0823339	-0.00827399	
-0.00136632	-0.0737026	-0.00690046	
-0.00149131	-0.0661731	-0.00568574	
-0.00153946	-0.0594746	-0.00457923	
-0.0016139	-0.0536224	-0.00356154	
-0.00167504	-0.0483839	-0.00268673	
-0.00167191	-0.0437494	-0.00195057	
-0.00172338	-0.0396295	-0.00128563	
-0.0017446	-0.0359475	-0.000728371	
-0.00172099	-0.032653	-0.000217251	
-0.00171618	-0.0297377	0.00023004	
-0.00169355	-0.0270945	0.00059106	
-0.00168012	-0.0247505	0.000921119	
-0.00164974	-0.0226444	0.0011838	
-0.00161712	-0.0207258	0.00140963	
-0.00157942	-0.0190048	0.00159615	
-0.0015334	-0.0174594	0.00175389	
-0.0014898	-0.0160565	0.00186908	
-0.00145863	-0.014788	0.00195672	
-0.00140391	-0.0136295	0.00203397	
-0.00135537	-0.0125772	0.00208825	
-0.00131817	-0.0116315	0.00212597	
-0.00126003	-0.0107482	0.002152	
-0.00122898	-0.00993716	0.00217434	
-0.000454917	-0.00195885	-0.00131471	
-0.000483994	-0.00207207	-0.00136797	
-0.000511319	-0.0021889	-0.00141971	
-0.000524633	-0.00233831	-0.00146046	
-0.000538792	-0.00247038	-0.00151132	
-0.000554578	-0.00260661	-0.00156684	
-0.000574398	-0.00276692	-0.00162046	
-0.000604026	-0.00295635	-0.00164723	
-0.000634749	-0.00314595	-0.00169039	
-0.000654424	-0.0033374	-0.0017881	
-0.00068977	-0.0035655	-0.00188154	
-0.000729171	-0.00383054	-0.00191994	
-0.000772409	-0.00405075	-0.00198657	
-0.000796475	-0.00431224	-0.00204998	
-0.000835543	-0.0046288	-0.00213706	
-0.000883313	-0.00494957	-0.0021994	
-0.00093185	-0.00528583	-0.00226413	
